word;etymology
*imiti ( ~ *ɨmɨt);[(u'Old Turkic:', u'imiti (Rach.) (can also be read as \u0268m\u0268t)')]
*in-gek (/*ɨn-gak), *in-ken;"[(u'Old Turkic:', u'ingek (Orkh., OUygh.) 1, ingen 2 (OUygh.)'), (u'Karakhanid:', [u'ingek 1, ingen 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'inek 1'), (u'Tatar:', u'i\u0306n\xe4k 1 (dial.)'), (u'Middle Turkic:', [u'inek 1 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=230"" target=""_blank"">AH</a>, u'), inen 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'in\xe4k, in\xe4j 1 (dial.)'), (u'Uighur:', u'in\xe4k 1, (dial.) ingan, i\u014bgan 2'), (u'Sary-Yughur:', u'inek, enek 1'), (u'Azerbaidzhan:', u'in\xe4k 1'), (u'Turkmen:', u'inek 1 (\u042d\u0421\u0422\u042f), inen 2'), (u'Khakassian:', u'i\u0306nek 1'), (u'Shor:', u'inek, n\xe4k 1'), (u'Oyrat:', u'inek, ijnek 1'), (u'Chuvash:', u'\u01ddne 1'), (u'Yakut:', u'\u0268nax 1'), (u'Tuva:', u'inek 1, e\u014bgin 2'), (u'Kirghiz:', u'inek 1, i\u014bgen 2'), (u'Kazakh:', u'inek 1, i\u0306\u014bgen 2'), (u'Balkar:', u'inek, ijnek 1'), (u'Gagauz:', u'inek 1'), (u'Karaim:', u'inek 1'), (u'Karakalpak:', u'i\u014bgen 2'), (u'Kumyk:', u'inek 1')]"
*ini;"[(u'Old Turkic:', u'ini (Orkh., OUygh.)'), (u'Karakhanid:', [u'ini (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'ini'), (u'Tatar:', u'i\u0306ni\u0306'), (u'Middle Turkic:', [u'ini (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=214"" target=""_blank"">\u0411\u043e\u0440. \u0411\u0430\u0434.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'ini'), (u'Uighur:', u'ini'), (u'Sary-Yughur:', u'ini, \u0268n\u0268'), (u'Azerbaidzhan:', u'ini (dial.)'), (u'Turkmen:', u'ini'), (u'Oyrat:', u'ini, \u012bn'), (u'Yakut:', u'ini, in\u012b'), (u'Dolgan:', u'ini-b\u012b'), (u'Kirghiz:', u'ini'), (u'Kazakh:', u'i\u0306ni\u0306'), (u'Noghai:', u'ini'), (u'Bashkir:', u'i\u0306ni\u0306'), (u'Karakalpak:', u'ini'), (u'Kumyk:', u'ini')]"
*(i)öm;"[(u'Old Turkic:', u'\xfcm (OUygh.) (=\xf6m)'), (u'Karakhanid:', [u'\xf6m (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', [<i>im</i>, u' (Osm.)']), (u'Middle Turkic:', [u'\u0268m (Kypch. ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=185"" target=""_blank"">Houts.</a>, u')']), (u'Sary-Yughur:', u'\u0268m, j\u0268m, j\xfcm'), (u'Halaj:', u'\u0113\u0302\u0323m'), (u'Chuvash:', u'j\u01dd\u02b7m')]"
*iri-;"[(u'Old Turkic:', u'jir\xfc- 1 (OUygh.), iri\u014b 2 (Orkh., OUygh.)'), (u'Karakhanid:', [u'iri- 1, iri\u014b 2 (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'irin 2'), (u'Tatar:', u'i\u0306ri\u0306- 3, i\u0306ri\u0306n 2'), (u'Middle Turkic:', u'iri\u014b 2'), (u'Uzbek:', u'iri- 1, jiri\u014b 2'), (u'Uighur:', u'\u01efiri\u014b 2'), (u'Azerbaidzhan:', u'irin 2'), (u'Turkmen:', u'iri\u014b 2'), (u'Khakassian:', u'i\u0306ri\u0306- 1, 3, i\u0306ri\u0306n 2'), (u'Oyrat:', u'iri- 3, iri\u014b 2'), (u'Yakut:', u'ire\u014be 2'), (u'Dolgan:', u'ire\u014be 2'), (u'Tuva:', u'iri- 1, iri\u014b 2'), (u'Kirghiz:', u'iri- 1, 3, iri\u014b 2'), (u'Kazakh:', u'i\u0306ri\u0306- 1, 3, i\u0306ri\u0306n 2'), (u'Noghai:', u'irin 2'), (u'Bashkir:', u'i\u0306ri\u0306- 3, i\u0306ri\u0306n 2'), (u'Balkar:', u'irin 2'), (u'Gagauz:', u'jirin 2'), (u'Karaim:', u'irin 2'), (u'Karakalpak:', u'iri- 1, 3, iri\u014b 2')]"
*irk-;"[(u'Karakhanid:', [<i>irk-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'irk-'), (u'Middle Turkic:', [u'irk- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Turkmen:', u'irik- (dial.)'), (u'Kirghiz:', u'irk-il-'), (u'Kazakh:', u'irk-')]"
*iske-;"[(u'Karakhanid:', [u'iske- (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u') 1']), (u'Azerbaidzhan:', u'isk\xe4n\xe4 3'), (u'Turkmen:', u'iskew 2, isg\xe4n\xe4 3'), (u'Yakut:', u'iskex 2')]"
*it-;"[(u'Karakhanid:', [<i>it-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkish:', u'it-'), (u'Tatar:', u'i\u0306t-'), (u'Middle Turkic:', [<i>it-</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=183"" target=""_blank"">Abush.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=218"" target=""_blank"">Pav. C.</a>, u')']), (u'Uzbek:', u'itar-'), (u'Uighur:', u'it\xe4r-'), (u'Sary-Yughur:', u'it-'), (u'Turkmen:', u'it-'), (u'Khakassian:', u'i\u0306t-'), (u'Shor:', u'it-'), (u'Oyrat:', [<i>it-,</i>, u' ijt-']), (u'Yakut:', u'\xfct-'), (u'Dolgan:', [<i>it-,</i>, u' \xfct-']), (u'Tuva:', u'it-'), (u'Kazakh:', u'i\u0306jter-'), (u'Bashkir:', u'i\u0306t-'), (u'Gagauz:', u'jitir-'), (u'Karaim:', u'it-'), (u'Karakalpak:', u'ijter-')]"
*itelgü;[(u'Turkish:', u'\xf6tl\xe4g\xfc'), (u'Uzbek:', u'it\xe4lg\xfc'), (u'Turkmen:', u'itelgi')]
*īg;"[(u'Old Turkic:', [<i>ig</i>, u' (OUygh.)']), (u'Karakhanid:', [<i>ig</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">KB</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=193"" target=""_blank"">Tefs.</a>, u')']), (u'Turkish:', u'i\u0263\u01efil'), (u'Middle Turkic:', [<i>ig</i>, u' (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=174"" target=""_blank"">Sangl.</a>, u', ', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=185"" target=""_blank"">Houts.</a>, u')']), (u'Turkmen:', u""\u012bgli 'rickety'""), (u'Chuvash:', u""j\u044ax 'leprosy, scrofula'"")]"
*ījn;"[(u'Old Turkic:', [<i>in</i>, u' (OUygh.)']), (u'Karakhanid:', [<i>in,</i>, u' jin (', <a href=""response.cgi?&amp;single=1&amp;root=config&amp;basename=/data/biblio/biblio.dbf&amp;text_recno=164"" target=""_blank"">MK</a>, u')']), (u'Turkmen:', u'h\u012bn'), (u'Halaj:', u'h\u012b\u0323n'), (u'Chuvash:', u'j\u01ddn\u01dd'), (u'Yakut:', u'\u012bn'), (u'Dolgan:', u'\u012bn'), (u'Kirghiz:', u'ijin')]"
